startday,lwr,md,upr
1,-0.0250834194311605,-0.00878827429683904,0.0161490706859989
2,0.0848359320673569,0.140922352895606,0.18008583279655
3,0.152349110037625,0.298661511302107,0.394782051992647
4,-0.0854859927224965,-0.0452894726716787,0.0218236527220184
5,0.079819894350428,0.120976980812801,0.167596967960156
6,0.117480282790862,0.156079890348101,0.204273980833895
7,0.0439719536545926,0.107637144800307,0.188164847200324
8,0.0825793425768767,0.116628466478837,0.153523049988437
9,0.0543555315191181,0.134345785578829,0.179234707505495
10,-0.0100824396833811,0.0874202748756643,0.164956218009568
11,-0.164701558239551,-0.123431461724068,-0.0585462254333094
12,0.0353543812706478,0.0711676732837764,0.134279955390415
13,0.0235624118712374,0.110963143103618,0.185769337965726
14,-0.0603017365750865,-0.0418394911297852,-0.0189122978121076
15,0.122245318717783,0.181869922986102,0.234882887051538
16,0.125647288160124,0.263179903581596,0.340361340621865
17,-0.033926436781539,0.000882939830195106,0.031282442592089
18,0.0590306540409609,0.171857678107621,0.232937241974797
19,-0.0339285218638122,0.0528486172083634,0.144810511601633
20,-0.0866221799894549,-0.0589065706753402,-0.0142198225925482
21,0.151393086177817,0.228198360619483,0.304408280816751
22,0.115122168510605,0.273688020680119,0.379056273393798
23,-0.081404523326994,-0.0324935212522394,0.0337462695662409
24,0.130940119359324,0.187296285774482,0.226544587288373
25,0.0807535119675013,0.127221622592316,0.1721729239
26,-0.0116691135792924,0.0334841647272994,0.0813960680150671
27,0.0642330873696233,0.119126789902767,0.158401762331965
28,-0.0920415367665653,-0.0480626244200832,0.0173214754575348
29,0.0306303537890145,0.0680676711307267,0.0867658368678811
30,0.0115262630188788,0.0718601628103883,0.129741525082165
