cellid,date.time,from,rain.1h.dmi,air.temp.dmi,mean_wind_speed,soil.temp.dmi,wind.2m.dmi,source.dmi,imei,air.temp.fs,humidity,rain.1h.fs,soil.temp.fs,wind.2m.fs,year2,year4,source.fs,air.temp.error,air.temp.aerror,wind.2m.error,wind.2m.aerror,wind.2m.rerror,rain.1h.error,rain.1h.aerror,rain.1h.rerror,rain.1h.not0.error,rain.1h.not0.aerror,rain.1h.not0.rerror,year,mnth,dom,hr
10km_624_54,2020-04-01T04:00:00Z,2020-03-31 23:00:00,0,4.3,5.8,4.4,4.44865799161703,DMI,869867036916338,4.02833333333333,100,0,3.87,3.735,,2020,FieldSense,0.271666666666667,0.271666666666667,0.71365799161703,0.71365799161703,0.191073090125041,0,0,,,,,20,4,1,0
10km_624_54,2020-04-01T05:00:00Z,2020-04-01 00:00:00,0,4.2,5.5,4.3,4.21855499205063,DMI,869867036916338,3.83333333333333,100,0,3.82,3.78166666666667,,2020,FieldSense,0.366666666666666,0.366666666666666,0.436888325383965,0.436888325383965,0.11552798379479,0,0,,,,,20,4,1,1
10km_624_54,2020-04-01T06:00:00Z,2020-04-01 01:00:00,0,4,5.5,4.3,4.21855499205063,DMI,869867036916338,3.68166666666667,100,0,3.75,3.495,,2020,FieldSense,0.318333333333333,0.318333333333333,0.723554992050632,0.723554992050632,0.207025748798464,0,0,,,,,20,4,1,2
10km_624_54,2020-04-01T07:00:00Z,2020-04-01 02:00:00,0,3.9,5.4,4.3,4.14185399219517,DMI,869867036916338,3.735,100,0,3.68,3.55833333333333,,2020,FieldSense,0.165,0.165,0.583520658861833,0.583520658861833,0.163987070406136,0,0,,,,,20,4,1,3
10km_624_54,2020-04-01T08:00:00Z,2020-04-01 03:00:00,0,4,5.3,4.3,4.0651529923397,DMI,869867036916338,3.81,100,0,3.68,3.37833333333333,,2020,FieldSense,0.19,0.19,0.686819659006366,0.686819659006366,0.203301329750281,0,0,,,,,20,4,1,4
10km_624_54,2020-04-01T09:00:00Z,2020-04-01 04:00:00,0,3.9,5.4,4.2,4.14185399219517,DMI,869867036916338,3.82333333333333,100,0,3.64,3.535,,2020,FieldSense,0.0766666666666662,0.0766666666666662,0.606853992195166,0.606853992195166,0.171670153379113,0,0,,,,,20,4,1,5
10km_624_54,2020-04-01T10:00:00Z,2020-04-01 05:00:00,0,4.1,5.1,4.2,3.91175099262877,DMI,869867036916338,4.53166666666667,100,0,3.72666666666667,4.04666666666667,,2020,FieldSense,-0.431666666666668,0.431666666666668,-0.134915674037899,0.134915674037899,-0.0333399523981628,0,0,,,,,20,4,1,6
10km_624_54,2020-04-01T11:00:00Z,2020-04-01 06:00:00,0,4.8,5.9,4.2,4.5253589914725,DMI,869867036916338,5.61833333333333,97.425,0,3.945,4.43333333333333,,2020,FieldSense,-0.818333333333333,0.818333333333333,0.0920256581391632,0.0920256581391632,0.0207576672494354,0,0,,,,,20,4,1,7
10km_624_54,2020-04-01T12:00:00Z,2020-04-01 07:00:00,0,5.8,6.6,4.3,5.06226599046076,DMI,869867036916338,6.51166666666667,86.785,0,4.235,4.38666666666667,,2020,FieldSense,-0.711666666666667,0.711666666666667,0.675599323794092,0.675599323794092,0.154012003904428,0,0,,,,,20,4,1,8
10km_624_54,2020-04-01T13:00:00Z,2020-04-01 08:00:00,0,6.6,7.5,4.4,5.75257498915995,DMI,869867036916338,7.32,78.655,0,4.64333333333333,4.52833333333333,,2020,FieldSense,-0.720000000000001,0.720000000000001,1.22424165582662,1.22424165582662,0.270351488220822,0,0,,,,,20,4,1,9
