"","study.num","study","study.details","country","czone","Site","soil.texture","Sand","clay","texture.class","year.start","year.end","crop","crop.type","man.type","man.type.broad","man.tex","DM","DM.sd","TAN","TAN.sd","pH","app.rate","Napp.rate","app.date","app.date.2","duration","meas.meth.orig","meas.meth","app.treat","app.treat.general","app.ref","app.ref2","treat","additive.class","additive.conc","pH.treat","DM.treat","cum.ref.TAN","cum.ref.TAN.sd","cum.ref.mass","cum.treat.TAN","cum.treat.TAN.sd","cum.treat.mass","cum.treat.mass.sd","red","red.2","red.sd","Units","notes","DP.notes"
"1",38,"Pote and Meisinger 2014","Pote, D. H., & Meisinger, J. J. (2014). Effect of poultry litter application method on ammonia volatilization from a conservation tillage system. Journal of Soil and Water Conservation, 69(1), 17-25. https://doi.org/10.2489/jswc.69.1.17","USA - Maryland","Humid subtropical climate Cfa","USDA Agricultural Research Service","Loam texture (35% sand, 45% silt, and 20% clay) + moderately well-drained + Codorus silt loam (fine-loamy, mixed, active mesic, Typic Fluvaquentic Dystrudepts)",350,200,"moderate","39661","39666","High-residue conservation tillage systems (Chopped Wheat Straw)","cereal","Poultry litter","Poultry Manure","Solid","74.3","N/A","N/A","N/A","8","5150","158","39661",NA,"6d","Small mobile Wind Tunnels","Wind tunnels","Surface spreading followed by light disking","broadcast / incorporation","Surface spreading with no incorporation","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","25.126000000000001","N/A","N/A","7.31","N/A","70.90663058186739","70.90663058186739","N/A","DM = % ; app_rate = kg litter/ha ; Napp_rate = kg N/ha ; cum.treat.mass = cum.ref.mass = kg NH3-N/ha","In table 2 and 3 NH3-N loss data are expressed as % of NH4-N. So I used the NH4-N applied rate to calculate the NH3-N mass loss",NA
"2",38,"Pote and Meisinger 2014","Pote, D. H., & Meisinger, J. J. (2014). Effect of poultry litter application method on ammonia volatilization from a conservation tillage system. Journal of Soil and Water Conservation, 69(1), 17-25. https://doi.org/10.2489/jswc.69.1.17","USA - Maryland","Humid subtropical climate Cfa","USDA Agricultural Research Service","Loam texture (35% sand, 45% silt, and 20% clay) + moderately well-drained + Codorus silt loam (fine-loamy, mixed, active mesic, Typic Fluvaquentic Dystrudepts)",350,200,"moderate","40021","40026","High-residue conservation tillage systems (Chopped Wheat Straw)","cereal","Poultry litter","Poultry Manure","Solid","74.400000000000006","N/A","N/A","N/A","8.4","4700","142","40021",NA,"5d","Small mobile Wind Tunnels","Wind tunnels","Surface spreading followed by light disking","broadcast / incorporation","Surface spreading with no incorporation","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","28.56","N/A","N/A","9.7200000000000006","N/A","65.966386554621835","65.966386554621835","N/A","DM = % ; app_rate = kg litter/ha ; Napp_rate = kg N/ha ; cum.treat.mass = cum.ref.mass = kg NH3-N/ha",NA,NA
"3",49,"Sommer and Hansen 2022","Sommer, S. G., & Hansen, M. N. (2022). Incorporation of deep litter reduce ammonia volatilization: Effect of incorporation depth and timing (Short Communication). Atmospheric Environment: X, 13, 100148. https://doi.org/https://doi.org/10.1016/j.aeaoa.2022.100148","Denmark","Warm temperate humid climate Cfb","N/A","Sandy loam (13.1% clay, 81.7% sand and 2.2% organic matter)",817,131,"coarse","38099","38104","Wheat stubble","cereal","Cattle deep litter","Cattle manure","Solid","32.799999999999997","40","0.99","0.2","8.8000000000000007","18.2","123.75999999999999","38099",NA,"120h","ZINST Micrometeorological method","ZINST Micrometeorological method","Plow20m : Plowing, 20 min, 20–25 cm","broadcast / incorporation","Control : None (Untreated manure)","surface broadcast","N/A","n/a",NA,"N/A","N/A","48","N/A","5.6639999999999997","13","N/A","2.3530000000000002","N/A","72.916666666666657","72.916666666666657","N/A","DM = g/kg ; TAN = g N/kg ; app_rate = tons/ha ; Napp_rate = kg N/ha ; cum.treat.TAN = cum.ref.TAN = % ; cum.ref.mass = cum.treat.mass = kg/ha",NA,NA
"4",49,"Sommer and Hansen 2022","Sommer, S. G., & Hansen, M. N. (2022). Incorporation of deep litter reduce ammonia volatilization: Effect of incorporation depth and timing (Short Communication). Atmospheric Environment: X, 13, 100148. https://doi.org/https://doi.org/10.1016/j.aeaoa.2022.100148","Denmark","Warm temperate humid climate Cfb","N/A","Sandy loam (13.1% clay, 81.7% sand and 2.2% organic matter)",817,131,"coarse","38099","38104","Wheat stubble","cereal","Cattle deep litter","Cattle manure","Solid","31.6","35","1.08","0.4","8.6","19.600000000000001","121.52000000000001","38099",NA,"120h","ZINST Micrometeorological method","ZINST Micrometeorological method","Harrow5m : Disc-harrow, 5 min, 15–20 cm","broadcast / incorporation","Control : None (Untreated manure)","surface broadcast","N/A","n/a",NA,"N/A","N/A","48","N/A","5.6639999999999997","25","N/A","5.3","N/A","47.916666666666671","47.916666666666671","N/A","DM = g/kg ; TAN = g N/kg ; app_rate = tons/ha ; Napp_rate = kg N/ha ; cum.treat.TAN = cum.ref.TAN = % ; cum.ref.mass = cum.treat.mass = kg/ha",NA,NA
"5",49,"Sommer and Hansen 2022","Sommer, S. G., & Hansen, M. N. (2022). Incorporation of deep litter reduce ammonia volatilization: Effect of incorporation depth and timing (Short Communication). Atmospheric Environment: X, 13, 100148. https://doi.org/https://doi.org/10.1016/j.aeaoa.2022.100148","Denmark","Warm temperate humid climate Cfb","N/A","Sandy loam (13.1% clay, 81.7% sand and 2.2% organic matter)",817,131,"coarse","38099","38104","Wheat stubble","cereal","Cattle deep litter","Cattle manure","Solid","33.799999999999997","47","1.27","0.4","8.6999999999999993","18.5","111","38099",NA,"120h","ZINST Micrometeorological method","ZINST Micrometeorological method","Harrow6h : Disc-harrow, 6 h, 15–20 cm","broadcast / incorporation","Control : None (Untreated manure)","surface broadcast","N/A","n/a",NA,"N/A","N/A","48","N/A","5.6639999999999997","39","N/A","9.1650000000000009","N/A","18.75","18.75","N/A","DM = g/kg ; TAN = g N/kg ; app_rate = tons/ha ; Napp_rate = kg N/ha ; cum.treat.TAN = cum.ref.TAN = % ; cum.ref.mass = cum.treat.mass = kg/ha",NA,NA
