"","com","red.avg","red.sd","study.no"
"1","surface broadcast - injection",75.6620962899428,33.5422244128025,11
"2","banding - injection",30.4441486196792,25.3656745030246,6
"3","surface broadcast - broadcast / incorporation",59.3811520040167,16.9677554556817,7
"4","surface broadcast - banding",22.8529270626668,57.5982565878968,5
"5","banding - Trailing shoe",18.5901615870209,19.6776458078451,3
"6","surface broadcast - Trailing shoe",32.021294169537,39.0922234106667,1
