period,air.temp,wind.2m,rain.rate,rain.6,rain.24,rain.tot,yr.min,yr.max,n.yr
dry,12.553,4.3,0.086,0.129,1.6,14.603,2021,2024,4
rainy,11.604,4.618,0.135,4.624,7.019,22.759,2021,2024,4
