"","study.num","study","study.details","country","czone","Site","soil.texture","Sand","clay","texture.class","year.start","year.end","crop","crop.type","man.type","man.type.broad","man.tex","DM","DM.sd","TAN","TAN.sd","pH","app.rate","Napp.rate","app.date","app.date.2","duration","meas.meth.orig","meas.meth","app.treat","app.treat.general","app.ref","app.ref2","treat","additive.class","additive.conc","pH.treat","DM.treat","cum.ref.TAN","cum.ref.TAN.sd","cum.ref.mass","cum.treat.TAN","cum.treat.TAN.sd","cum.treat.mass","cum.treat.mass.sd","red","red.2","red.sd","Units","notes","DP.notes"
"1",7,"Costa et al., 2014","Costa, M., Shigaki, F., Alves, B., Kleinman, P., & Pereira, M. (2014). Swine manure application methods effects on ammonia volatilization, forage quality, and yield in the Pre-Amazon Region of Brazil. Chilean journal of agricultural research, 74, 311-318. http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000300009&nrm=iso","Brazil","Hot and semi-humid equatorial","N/A","Sand clay loam soil (Red-Yellow Latossol)",NA,NA,"moderate","April 2010","June/July 2010","Pasture of Brachiaria brizantha (Hochst. ex A. Rich.)","pasture","Swine Manure (SM)","Pig manure","Liquid","48","N/A","N/A","N/A","N/A","10","N/A","April 2012",NA,"264h(of measurement) - 45d in total","Semi-open static ammonia chamber","Semi-static chambers","Incorporation at 10-cm soil depth (cutting discs of a planter)","broadcast / incorporation","Application on the soil surface - evenly broadcast","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","143","N/A","N/A","83","N/A","41","41","N/A","DM = g/kg ; app_rate = m3/ha ; cum.treat.mass = kg N-NH3 /ha",NA,NA
"2",8,"Dell et al., 2012","Dell, C. J., Kleinman, P. J. A., Schmidt, J. P., & Beegle, D. B. (2012). Low-Disturbance Manure Incorporation Effects on Ammonia and Nitrate Loss. Journal of Environmental Quality, 41(3), 928-937. https://doi.org/https://doi.org/10.2134/jeq2011.0327","USA - Pennsylvania","Warm summer humid-continental and humid subtropical (Dfb+Dfa+Cfb+Cfa)","N/A","Hagerstown silt loam (Fine, mixed semiactive, mesic Typic Hapludalf )",NA,NA,"moderate","38838","39967","Silage Corn","maize","Dairy Cow Slurry (Bos taurus L.)","Cattle manure","Liquid","9.6","N/A","N/A","N/A","6.85","56000","N/A","2006-05-01 and 2006-05-08",NA,"72h","Dynamic chamber technique (Svensson, 1994) + Passive diffusion samplers (PDSs)","Dynamic Chamber","Broadcast with incorporation by tillage : plots were chisel plowed (~20 cm deep) and culti-mulched approximately 1 h after broadcast manure application","broadcast / incorporation","Broadcast : Manure was broadcast from a toolbar with six outlets placed above splash plates","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","63","N/A","N/A","12","2","82","82","N/A","DM = % ; app_rate = L/ha ; cum.ref.mass = cum.treat.mass = kg NH3-N/ha ; urea.application.rate = kg/ha","For the broadcast with incorporation : Chiselled and culti-mulched 1 h after manure application.",NA
"3",8,"Dell et al., 2012","Dell, C. J., Kleinman, P. J. A., Schmidt, J. P., & Beegle, D. B. (2012). Low-Disturbance Manure Incorporation Effects on Ammonia and Nitrate Loss. Journal of Environmental Quality, 41(3), 928-937. https://doi.org/https://doi.org/10.2134/jeq2011.0327","USA - Pennsylvania","Warm summer humid-continental and humid subtropical (Dfb+Dfa+Cfb+Cfa)","N/A","Hagerstown silt loam (Fine, mixed semiactive, mesic Typic Hapludalf )",NA,NA,"moderate","38838","39967","Silage Corn","maize","Dairy Cow Slurry (Bos taurus L.)","Cattle manure","Liquid","9.1","N/A","N/A","N/A","7.1","56000","N/A","2007-05-07 and 2007-05-15",NA,"72h","Dynamic chamber technique (Svensson, 1994) + Passive diffusion samplers (PDSs)","Dynamic Chamber","Broadcast with incorporation by tillage : plots were chisel plowed (~20 cm deep) and culti-mulched approximately 1 h after broadcast manure application","broadcast / incorporation","Broadcast : Manure was broadcast from a toolbar with six outlets placed above splash plates","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","62","N/A","N/A","11","11","52","52","N/A","DM = % ; app_rate = L/ha ; cum.ref.mass = cum.treat.mass = kg NH3-N/ha ; urea.application.rate = kg/ha",NA,NA
"4",41,"Sadeghpour et al., 2015","Sadeghpour, A., Hashemi, M., Weis, S. A., Spargo, J. T., Mehrvarz, S., & Herbert, S. J. (2015). Assessing Tillage Systems for Reducing Ammonia Volatilization from Spring-Applied Slurry Manure. Communications in Soil Science and Plant Analysis, 46(6), 724-735. https://doi.org/10.1080/00103624.2015.1005223","USA - Massachusetts","Humid continental climate (Dfb+ Dfa +Cfa+Cfb)","(42. N, 73. W)","N/A",NA,NA,NA,"2010","2012","Corn hybrid [TA290-11 (CB/LL)]","maize","Dairy manure","Cattle manure","Liquid","8","N/A","N/A","N/A","7","56000","152","40325",NA,"78h","Chamber containing a sampling jar of 0.02 H2SO4 was placed on each manure treatment plot for 1 h","Semi-static chambers","Disk after manure application","broadcast / incorporation","Disk before manure application","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","5.2","N/A","N/A","1.3","N/A","75","75","N/A","DM = kg/ha ; app_rate = L/ha ; Napp_rate = kg/ha ; cum.treat.mass = cum.ref.mass = kg NH3-H/ha","In no-till plots, manure was applied from a toolbar with six outlets placed above splash plates",NA
"5",41,"Sadeghpour et al., 2015","Sadeghpour, A., Hashemi, M., Weis, S. A., Spargo, J. T., Mehrvarz, S., & Herbert, S. J. (2015). Assessing Tillage Systems for Reducing Ammonia Volatilization from Spring-Applied Slurry Manure. Communications in Soil Science and Plant Analysis, 46(6), 724-735. https://doi.org/10.1080/00103624.2015.1005223","USA - Massachusetts","Humid continental climate (Dfb+ Dfa +Cfa+Cfb)","(42. N, 73. W)","N/A",NA,NA,NA,"2010","2012","Corn hybrid [TA290-11 (CB/LL)]","maize","Dairy manure","Cattle manure","Liquid","11","N/A","N/A","N/A","7.3","56000","185","40701",NA,"78h","Chamber containing a sampling jar of 0.02 H2SO4 was placed on each manure treatment plot for 1 h","Semi-static chambers","Disk after manure application","broadcast / incorporation","No-till","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","7.2","N/A","N/A","2.4","N/A","66","66","N/A","DM = kg/ha ; app_rate = L/ha ; Napp_rate = kg/ha ; cum.treat.mass = cum.ref.mass = kg NH3-H/ha",NA,NA
"6",41,"Sadeghpour et al., 2015","Sadeghpour, A., Hashemi, M., Weis, S. A., Spargo, J. T., Mehrvarz, S., & Herbert, S. J. (2015). Assessing Tillage Systems for Reducing Ammonia Volatilization from Spring-Applied Slurry Manure. Communications in Soil Science and Plant Analysis, 46(6), 724-735. https://doi.org/10.1080/00103624.2015.1005223","USA - Massachusetts","Humid continental climate (Dfb+ Dfa +Cfa+Cfb)","(42. N, 73. W)","N/A",NA,NA,NA,"2010","2012","Corn hybrid [TA290-11 (CB/LL)]","maize","Dairy manure","Cattle manure","Liquid","5","N/A","N/A","N/A","6.9","56000","106","41080",NA,"78h","Chamber containing a sampling jar of 0.02 H2SO4 was placed on each manure treatment plot for 1 h","Semi-static chambers","Disk after manure application","broadcast / incorporation","No-till","surface broadcast","N/A",NA,NA,"N/A","N/A","N/A","N/A","10.3","N/A","N/A","3.5","N/A","66","66","N/A","DM = kg/ha ; app_rate = L/ha ; Napp_rate = kg/ha ; cum.treat.mass = cum.ref.mass = kg NH3-H/ha",NA,NA
"7",45,"Sherman et al., 2021_b","Sherman, J. F., Young, E. O., Jokela, W. E., & Cavadini, J. (2021). Impacts of low-disturbance dairy manure incorporation on ammonia and greenhouse gas fluxes in a corn silage–winter rye cover crop system. Journal of Environmental Quality, 50(4), 836-846. https://doi.org/https://doi.org/10.1002/jeq2.20228","USA - Wisconsin","Warm-summer humid continental Dfb + hot-summer humid continental Dfa","N/A","Poorly drained Withee silt loam soil (fine-loamy, mixed, superactive, frigid Aquic Glossudalf)",NA,NA,"fine","May 2013","Dec 2015","Corn (Zea mays L.) / Winter rye (Secale cereale L.)","maize","Dairy Manure","Cattle manure","Liquid","N/A","N/A","N/A","N/A","N/A","74800","206","41583",NA,"3d (50h)","Dynamic chamber/Equilibrium concentration technique (Misselbrook & Hansen, 2001; Svensson, 1994)","Dynamic Chamber","Broadcast manure with disk incorporation (broadcast-disk)","broadcast / incorporation","Broadcast-surface (broadcast-surf)","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","16","N/A","N/A","8","N/A","50","50","N/A","app_rate =  L/ha ; Napp_rate = kg TN/ha ; cum.treat.mass = cum.ref.mass = kg NH3-N/ha",NA,NA
"8",45,"Sherman et al., 2021_b","Sherman, J. F., Young, E. O., Jokela, W. E., & Cavadini, J. (2021). Impacts of low-disturbance dairy manure incorporation on ammonia and greenhouse gas fluxes in a corn silage–winter rye cover crop system. Journal of Environmental Quality, 50(4), 836-846. https://doi.org/https://doi.org/10.1002/jeq2.20228","USA - Wisconsin","Warm-summer humid continental Dfb + hot-summer humid continental Dfa","N/A","Poorly drained Withee silt loam soil (fine-loamy, mixed, superactive, frigid Aquic Glossudalf)",NA,NA,"fine","May 2013","Dec 2015","Corn (Zea mays L.) / Winter rye (Secale cereale L.)","maize","Dairy Manure","Cattle manure","Liquid","N/A","N/A","N/A","N/A","N/A","74800","206","41933",NA,"3d (50h)","Dynamic chamber/Equilibrium concentration technique (Misselbrook & Hansen, 2001; Svensson, 1994)","Dynamic Chamber","Broadcast manure with disk incorporation (broadcast-disk)","broadcast / incorporation","Broadcast-surface (broadcast-surf)","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","50","N/A","N/A","19.5","N/A","61","61","N/A","app_rate =  L/ha ; Napp_rate = kg TN/ha ; cum.treat.mass = cum.ref.mass = kg NH3-N/ha",NA,NA
"9",46,"Sherman et al., 2022","Sherman, J., Young, E., Jokela, W., & Kieke, B. (2022). Manure Application Timing and Incorporation Effects on Ammonia and Greenhouse Gas Emissions in Corn. Agriculture, 12(11), 1952. https://www.mdpi.com/2077-0472/12/11/1952","USA - Wisconsin","Warm-summer humid continental Dfb + hot-summer humid continental Dfa","N/A","Withee silt loam (fine-loamy, mixed, superactive, frigid Aquic Glossudalfs) a somewhat poorly drained soil with 0 to 2% slope",NA,NA,"fine","2009","2011","Corn silage hybrid (Zea mays L.)","maize","Dairy Manure","Cattle manure","Liquid","16.600000000000001","N/A","N/A","N/A","N/A","62000","185","39948",NA,"3d (50-55h)","Dynamic Chamber/Equilibrium concentration technique","Dynamic Chamber","PP-1-hr (incorporated with a tandem disk immediately)","broadcast / incorporation","PP-3-day (incorporated with a tandem disk 3 days later)","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","41","N/A","N/A","23","N/A","43.902439024390247","43.902439024390247","N/A","DM = % ; app_rate = L/ha ; Napp_rate = kg TN /ha ; cum.ref.mass = cum.treat.mass = kg NH3-N/ha","PP = Pre-Plant window",NA
"10",46,"Sherman et al., 2022","Sherman, J., Young, E., Jokela, W., & Kieke, B. (2022). Manure Application Timing and Incorporation Effects on Ammonia and Greenhouse Gas Emissions in Corn. Agriculture, 12(11), 1952. https://www.mdpi.com/2077-0472/12/11/1952","USA - Wisconsin","Warm-summer humid continental Dfb + hot-summer humid continental Dfa","N/A","Withee silt loam (fine-loamy, mixed, superactive, frigid Aquic Glossudalfs) a somewhat poorly drained soil with 0 to 2% slope",NA,NA,"fine","2009","2011","Corn silage hybrid (Zea mays L.)","maize","Dairy Manure","Cattle manure","Liquid","16.600000000000001","N/A","N/A","N/A","N/A","62000",NA,"2011 and 2011",NA,"3d (50-55h)","Dynamic Chamber/Equilibrium concentration technique","Dynamic Chamber","PP-1-hr (incorporated with a tandem disk immediately)","broadcast / incorporation","PP-3-day (incorporated with a tandem disk 3 days later)","surface broadcast","N/A","n/a",NA,"N/A","N/A","N/A","N/A","31.8","N/A","N/A","7.2","N/A","77.358490566037744","77.358490566037744","N/A","DM = % ; app_rate = L/ha ; Napp_rate = kg TN /ha ; cum.ref.mass = cum.treat.mass = kg NH3-N/ha",NA,NA
